name,mentions,name_pos,cap_ratio,first_pct
Гринг,9,False,1.0,5.7
Шафран,8,False,1.0,31.4
Рубин,8,False,1.0,0.6
Юзмана,8,False,1.0,21.9
Обжора,8,False,0.8,0.5
Ого,8,False,1.0,15.9
Саммера,8,False,1.0,43.2
Отбечь,8,False,0.89,21.7
Аркуса,8,False,1.0,0.3
Бофора,8,False,1.0,73.4
Железноногий,8,False,1.0,1.4
Пряный,8,False,0.89,31.4
Вейя,8,True,1.0,1.0
Олдос,8,False,1.0,0.9
Сиенна,8,True,1.0,4.7
Когда-нибудь,8,False,1.0,1.8
Стефан,8,True,1.0,0.1
Кина,8,False,1.0,0.4
Эдмунд,8,True,1.0,0.4
Морган,8,True,1.0,0.4
Макото,8,False,1.0,0.4
Доб,8,False,1.0,0.5
Блекторн,8,False,1.0,0.5
Люп,8,False,1.0,37.9
Гейст,8,False,1.0,0.8
Пол,8,True,0.06,7.3
Лео,8,True,1.0,0.2
Пригород,8,False,0.73,53.5
Доктрина,8,False,0.73,34.7
Дрейк,8,True,1.0,12.7
Флори,8,True,1.0,0.3
Каковой,8,False,0.67,3.5
Яоз,8,False,1.0,4.0
Конг,8,True,1.0,1.3
Айвить,8,False,1.0,46.6
Ансерия,8,False,1.0,0.4
Камилла,7,True,1.0,0.3
Мамор,7,True,1.0,0.4
Волкодав,7,False,0.7,0.1
Мица,7,False,1.0,0.9
Сельскохозяйственный,7,False,1.0,25.6
Грозный,7,True,0.16,1.3
Трюдо,7,False,1.0,1.3
Хьюберт,7,True,1.0,1.1
Генри,7,True,1.0,73.4
Хонора,7,False,1.0,0.3
Харлока,7,False,1.0,23.9
Сомнительно,7,False,0.78,23.4
Элиз,7,True,1.0,26.4
Диана,7,True,1.0,0.3
Пейн,7,True,1.0,1.3
Сольттерийский,7,False,1.0,0.9
Ирита,7,True,1.0,13.7
Дивизион,7,False,1.0,0.5
Берил,7,False,1.0,2.0
Витальский,7,False,1.0,12.3
Дитрих,7,True,1.0,47.0
Крушитель,7,False,1.0,0.5
Топорик,7,False,0.78,0.5
Концептуальный,7,False,1.0,76.0
Берингель,7,False,1.0,8.3
Адриана,7,True,1.0,16.3
Слышь,7,False,0.7,16.6
Блу,7,False,1.0,0.5
Флинт,7,False,1.0,0.5
Как-то,7,False,1.0,6.9
Кто-нибудь,7,False,1.0,1.9
Микстура,7,False,1.0,0.4
Северянин,7,True,0.41,43.0
Иветта,7,True,1.0,0.7
Роза,7,True,0.29,5.5
Глиндочка,7,False,1.0,81.3
Дэйся,6,True,1.0,31.3
Херово,6,False,0.86,4.0
Сапфировый,6,False,1.0,56.9
Таянг,6,True,1.0,55.9
Рейнджер,6,False,0.6,5.5
Аня,6,True,1.0,6.6
Реагирование,6,False,1.0,9.7
Серп,6,False,0.75,62.1
Харлок,6,True,1.0,54.2
Дюрфор,6,False,1.0,54.0
Сет,6,False,1.0,53.7
Чжу,6,False,1.0,30.3
Перри,6,False,1.0,1.3
Анне,6,True,1.0,3.5
Хаммерхольд,6,True,1.0,42.9
Леонардо,6,True,1.0,1.3
Ормана,6,False,1.0,10.7
Барбатаск,6,False,1.0,19.1
Гриммовщина,6,False,0.86,41.4
Лесник,6,False,0.86,20.6
Санктум,6,False,1.0,1.7
Изувер,6,False,0.86,1.5
Капитан-клятвопреступник,6,False,1.0,1.5
Дим,6,False,1.0,43.0
Гейтс,6,True,1.0,40.6
Кресента,6,True,1.0,16.7
Старец,6,False,0.75,21.2
Озанна,6,True,1.0,39.6
Кампа,6,False,1.0,65.3
Гийома,6,False,1.0,43.1
Илия,6,True,1.0,46.2
Форэ,6,False,1.0,68.5
Кицунэ,6,True,1.0,46.7
Вай-руйо,6,False,1.0,48.6
Вообще-то,6,False,1.0,16.8
Кастр,6,True,1.0,1.0
Гильда,6,True,1.0,0.6
Кагор,6,False,1.0,1.0
Андрастиан,6,True,1.0,0.5
Перекомандировка,6,False,1.0,87.1
Ларри,6,True,1.0,0.7
Розить,6,False,1.0,0.3
Теодор,6,True,1.0,0.4
Лоно,6,False,0.86,0.4
Карим,6,True,1.0,0.4
Пылев,6,True,0.32,0.5
Сенат,6,False,1.0,1.0
Уиллоу,6,True,1.0,0.5
Роберт,6,True,1.0,0.3
Муй,6,False,1.0,1.0
Пария,6,False,1.0,0.3
Флориан,6,True,1.0,0.3
Шеф,6,False,0.86,0.4
Джошуа,6,True,1.0,0.9
Киан,6,True,1.0,0.4
Эдея,6,True,1.0,0.6
Арбор,6,False,1.0,0.4
Фульва,6,False,1.0,0.4
Розенрота,6,False,1.0,0.5
Анант,6,True,1.0,0.6
Луи,6,True,1.0,0.3
Торчвика,6,False,1.0,0.5
Альба,6,False,1.0,79.4
Орманид,6,False,1.0,0.8
Силус,6,False,1.0,98.7
Пастух,6,False,0.86,98.5
Король-язычник,6,False,1.0,0.8
Николя,6,True,1.0,0.1
Бертольд,6,True,1.0,1.1
Юдо,6,False,1.0,0.2
Дага,6,False,1.0,0.8
Поджигатель,6,False,0.86,0.2
Бронзвинг,6,False,1.0,0.7
Аскарика,6,False,1.0,0.8
Озать,5,False,1.0,0.9
Скорпион,5,False,0.62,17.8
Кёнунгарда,5,False,1.0,47.8
Аргусов,5,True,0.83,15.3
Стальнояйцевый,5,False,1.0,77.3
Гримлэнд,5,False,1.0,49.4
Прорычать,5,False,0.71,67.5
Роксом,5,False,1.0,18.2
Мантикора,5,False,1.0,9.6
Альбина,5,True,1.0,0.4
Полендин,5,True,1.0,42.9
Иса,5,True,1.0,42.9
Озлема,5,False,1.0,3.6
Драконоубийца,5,False,1.0,45.0
Безмолствовать,5,False,1.0,0.9
Даг,5,False,1.0,0.8
Умбра,5,False,1.0,78.2
Спроул,5,False,1.0,0.5
Анти-аурный,5,False,1.0,46.1
Бальный,5,False,0.83,16.9
Алорна,5,True,1.0,0.9
Ганаус,5,True,1.0,0.5
Пенни,5,False,1.0,51.0
Олль,5,False,1.0,2.0
Тэнкэн,5,True,1.0,0.4
Джорь,5,False,1.0,0.2
Нуминор,5,False,1.0,0.3
Дзюйженя,5,True,1.0,0.7
Клермона,5,True,1.0,34.9
Траш,5,True,1.0,0.7
Бейфонг,5,False,1.0,60.0
