name,mentions,name_pos,cap_ratio,first_pct,status,comment_mentions
Лиана,12,False,0.6,0.7,never_mentioned,0
Эдельвейс,12,False,1.0,0.5,mentioned_not_guessed,1
Крысиный,12,False,0.92,53.6,never_mentioned,0
Арнольд,12,True,1.0,0.4,mentioned_not_guessed,1
Туба,12,False,1.0,24.6,never_mentioned,0
Росся,12,True,1.0,0.7,mentioned_not_guessed,1
Куроюри,12,True,1.0,5.2,never_mentioned,0
Вопросить,12,False,0.8,8.8,never_mentioned,0
Люкс,11,False,1.0,0.3,never_mentioned,0
Сафи,11,False,1.0,14.7,mentioned_not_guessed,2
Сирота,11,False,0.61,0.4,never_mentioned,0
Малус,11,False,1.0,1.1,mentioned_not_guessed,3
Кэндзь,11,False,1.0,0.4,never_mentioned,0
Ресурениум,11,False,1.0,1.1,mentioned_not_guessed,3
Безмолвствовать,11,False,0.92,38.3,never_mentioned,0
Марш,11,False,0.61,1.0,never_mentioned,0
Гир,11,False,1.0,42.3,eliminated,1
Ноктюрн,11,False,1.0,0.4,never_mentioned,0
Ловчий,11,False,0.92,4.1,never_mentioned,0
Базиля,11,True,1.0,0.5,eliminated,1
Джунгли,11,False,0.69,2.1,never_mentioned,0
Дюрфора,11,False,1.0,0.3,mentioned_not_guessed,1
Базилио,11,True,1.0,0.5,mentioned_not_guessed,1
Альянс,11,False,0.61,0.8,never_mentioned,0
Коко,11,False,1.0,0.7,mentioned_not_guessed,3
Ундэс,11,False,1.0,0.4,never_mentioned,0
Мавить,11,False,1.0,0.7,never_mentioned,0
Пакт,11,False,1.0,48.1,never_mentioned,0
Мэдок,11,False,1.0,0.4,never_mentioned,0
Волкоести,11,False,1.0,72.2,mentioned_not_guessed,6
Скай,10,False,1.0,0.7,mentioned_not_guessed,3
Рейчел,10,False,1.0,0.3,never_mentioned,0
Гвардия,10,False,0.62,24.4,never_mentioned,0
Пирхельма,10,True,1.0,0.9,never_mentioned,0
Тайджито,10,False,1.0,17.6,never_mentioned,0
Рассесть,10,False,1.0,0.7,never_mentioned,0
Наконец-то,10,False,1.0,16.7,mentioned_not_guessed,2
Храмна,10,True,1.0,0.8,mentioned_not_guessed,2
Арквилем,10,True,1.0,0.2,never_mentioned,0
Цецилия,10,True,1.0,0.5,never_mentioned,0
Воронь,10,False,1.0,60.1,never_mentioned,0
Сучжоу,10,False,1.0,3.6,never_mentioned,0
Победоносный,10,False,0.83,0.6,never_mentioned,0
Кенич,10,True,1.0,0.4,never_mentioned,0
Околдовать,10,False,1.0,1.1,mentioned_not_guessed,3
Шастр,10,True,1.0,59.3,mentioned_not_guessed,4
Джекалоп,10,False,1.0,0.8,never_mentioned,0
Корвальда,10,True,1.0,0.2,never_mentioned,0
Мак,10,False,0.77,25.7,mentioned_not_guessed,3
Роудж,10,True,1.0,0.5,never_mentioned,0
Шерлок,10,True,1.0,0.4,eliminated,1
Вебер,9,False,1.0,0.5,mentioned_not_guessed,4
Охуеть,9,False,0.82,46.0,never_mentioned,0
Грейсон,9,True,1.0,0.5,never_mentioned,0
Хао,9,False,1.0,70.5,never_mentioned,0
Домреми,9,True,1.0,37.6,never_mentioned,0
Героиня,9,False,0.82,0.1,mentioned_not_guessed,2
Гий,9,False,1.0,0.2,mentioned_not_guessed,4
Здравствуйте,9,False,0.82,13.4,mentioned_not_guessed,2
Раймонд,9,True,1.0,0.1,mentioned_not_guessed,2
Ларк,9,True,1.0,0.7,never_mentioned,0
Гринг,9,False,1.0,5.7,never_mentioned,0
Кот,9,False,0.64,21.3,never_mentioned,0
Стронг,9,True,1.0,0.5,eliminated,1
Лунатик,9,False,1.0,21.0,never_mentioned,0
Тая,9,True,0.9,70.5,mentioned_not_guessed,1
Фантом,9,False,1.0,40.2,never_mentioned,0
Барбатаска,9,False,1.0,3.4,never_mentioned,0
Здравствуй,9,False,1.0,3.7,never_mentioned,0
Иконоборец,9,False,1.0,1.0,never_mentioned,0
Бермандуа,9,True,1.0,1.1,never_mentioned,0
Одноглазый,9,False,0.64,64.1,never_mentioned,0
Альфа,9,False,1.0,4.2,never_mentioned,0
Гилла,9,True,1.0,32.9,never_mentioned,0
Падший,9,False,0.82,42.3,never_mentioned,0
Саф,9,False,1.0,4.6,never_mentioned,0
Гриж,9,False,1.0,0.4,never_mentioned,0
Пригород,8,False,0.73,53.5,never_mentioned,0
Макото,8,False,1.0,0.4,never_mentioned,0
Блекторн,8,False,1.0,0.5,never_mentioned,0
Люп,8,False,1.0,37.9,never_mentioned,0
Гейст,8,False,1.0,0.8,never_mentioned,0
Пол,8,True,0.06,7.3,never_mentioned,0
Лео,8,True,1.0,0.2,never_mentioned,0
Конг,8,True,1.0,1.3,never_mentioned,0
Доктрина,8,False,0.73,34.7,never_mentioned,0
Дрейк,8,True,1.0,12.7,never_mentioned,0
Флори,8,True,1.0,0.3,never_mentioned,0
Каковой,8,False,0.67,3.5,mentioned_not_guessed,3
Яоз,8,False,1.0,4.0,never_mentioned,0
Эдмунд,8,True,1.0,0.4,never_mentioned,0
Айвить,8,False,1.0,46.6,never_mentioned,0
Ансерия,8,False,1.0,0.4,mentioned_not_guessed,1
Морган,8,True,1.0,0.4,mentioned_not_guessed,2
Доб,8,False,1.0,0.5,never_mentioned,0
Кина,8,False,1.0,0.4,never_mentioned,0
Аркуса,8,False,1.0,0.3,never_mentioned,0
Стефан,8,True,1.0,0.1,never_mentioned,0
Шафран,8,False,1.0,31.4,mentioned_not_guessed,1
Рубин,8,False,1.0,0.6,never_mentioned,0
Юзмана,8,False,1.0,21.9,never_mentioned,0
Обжора,8,False,0.8,0.5,never_mentioned,0
Саммера,8,False,1.0,43.2,eliminated,2
Отбечь,8,False,0.89,21.7,never_mentioned,0
Ого,8,False,1.0,15.9,mentioned_not_guessed,1
Бофора,8,False,1.0,73.4,never_mentioned,0
Железноногий,8,False,1.0,1.4,mentioned_not_guessed,3
Пряный,8,False,0.89,31.4,mentioned_not_guessed,1
Вейя,8,True,1.0,1.0,never_mentioned,0
Олдос,8,False,1.0,0.9,never_mentioned,0
Сиенна,8,True,1.0,4.7,eliminated,3
Когда-нибудь,8,False,1.0,1.8,never_mentioned,0
Блу,7,False,1.0,0.5,eliminated,1
Дитрих,7,True,1.0,47.0,never_mentioned,0
Крушитель,7,False,1.0,0.5,never_mentioned,0
Топорик,7,False,0.78,0.5,never_mentioned,0
