name,mentions,commenters,author_mentions,name_pos,cap_ratio,first_seen,last_seen,samples
Ксли,1,1,0,True,1.0,2026-05-25,2026-05-25,[41146965] инцест *АБСОЛЮТНЫЕ ЗВУКИ ЛЕОНА* Наконец-то увидим Янг + Руби или Вайсс + Винтер + Уиллоу или Рейвен + Янг или Ксли + Блейк или Рейвен + Янг + Руби 🤩🥰
Ааааааа,1,1,0,False,1.0,2026-05-25,2026-05-25,"[41135426] Кроу заходит в храм Братьев в Атласе Верховный сановник Атласа Вебер:Ааааааа(упала гигантская люстра или другая причина,которая произошла точно по несчастному с"
Хои,1,1,0,False,1.0,2026-05-24,2026-05-24,"[41122137] Товарищ Автор, го катку в Хои 4, ставка игры- глава СМ. С Вашей стороны, если проиграете- глава. Со стороны читателей- донат на бусти"
Евроазиатка,1,1,0,False,1.0,2026-05-25,2026-05-25,[41125603] В сейтинге СМ она должна быть Евроазиаткой? Или как?
Глиинд,1,1,0,False,1.0,2026-05-24,2026-05-24,"[41115480] По сути в каноне из команд Бикона показаны команда Жона, Руби, Вельвет и Кардина (ныне сокомандники Ахерона), а также Блейк. Из преподавателей — Озпин, Глиинда,"
Пич,1,1,0,False,1.0,2026-05-24,2026-05-24,"[41115480] По сути в каноне из команд Бикона показаны команда Жона, Руби, Вельвет и Кардина (ныне сокомандники Ахерона), а также Блейк. Из преподавателей — Озпин, Глиинда,"
Меропритя,1,1,0,True,1.0,2026-05-24,2026-05-24,"[41117750] ""Меропритя"", лол, только сейчас заметил, щас поправлю, заодно заменю на более подходящий термин, мероприятия будто не очень подходят"
Охотничек,1,1,0,False,1.0,2026-05-23,2026-05-23,"[41083906] Сериал ""Охотнички"""
Масамэ,1,1,0,True,1.0,2026-05-23,2026-05-23,"[41070811] 1 (7 999 ) P.S Сорри, эти 8000 мои, ведь Масамэ внизу всё заруинил: спойлер (показать)"
Пошляк,1,1,0,False,1.0,2026-05-23,2026-05-23,[41070909] Пошляки... Какие у него пиздатые нарукавники.
Верность,1,1,0,False,1.0,2026-05-22,2026-05-22,"[41067819] Почти 8к комментариев. Хотел приберечь до круглого числа, но, пожалуй, могу добить. Представляю Вам, товарищи, часть фокусов для Арквилля. К сожалению, получало"
Сказочника-бывший,1,1,0,False,1.0,2026-05-22,2026-05-22,[41060525] На самом деле ПоВ будет от лица Сказочника-бывшего-Охотника
Набивать,1,1,0,False,1.0,2026-05-22,2026-05-22,[41063813] Набивает 8 к комметов
Продалас,1,1,0,False,1.0,2026-05-22,2026-05-22,"[41055424] — Ах, прекрасный вечный Продалас, в последний раз я был здесь ещё ребёнком... А прода ещё не вышла... Кель'тузад, мы возьмём её в осаду. —Меня зовут Кель'Тузед "
Тузед,1,1,0,True,1.0,2026-05-22,2026-05-22,"[41055424] — Ах, прекрасный вечный Продалас, в последний раз я был здесь ещё ребёнком... А прода ещё не вышла... Кель'тузад, мы возьмём её в осаду. —Меня зовут Кель'Тузед "
Вичестер-старший,1,1,0,False,1.0,2026-05-22,2026-05-22,"[41050948] 1) Нора не была замечена в любви к чему-то подобному. Думаю, такое возможно лишь когда они с Реном начнут решительные действия по улучшению вечно плохой демогра"
Выполнимый,1,1,0,False,1.0,2026-05-21,2026-05-21,"[41034528] Итак, никадаю мемов, которые, как я надеюсь, тоже попадут на гугл диск. Выполним план по его переполнению! Поехали: Как проходило закрепление лидерства в команд"
Кракен,1,1,0,False,1.0,2026-05-21,2026-05-21,"[41031688] Атлет, выпускай Кракена проду!)"
Аргел,1,1,0,False,1.0,2026-05-21,2026-05-21,[41022521] Аргел Тал похлопал бы
Талый,1,1,0,False,1.0,2026-05-21,2026-05-21,[41022521] Аргел Тал похлопал бы
Судья,1,1,0,False,1.0,2026-05-20,2026-05-20,"[41009593] Внимание, анекдоты: 1. На тонущем корабле один из пассажиров спрашивает капитана: — Далеко ли отсюда до земли? — Одна миля, мсье, — отвечает капитан. — А в како"
